Country,Daylight,Rank,Score,GDP/capita,Health,Freedom,Corruption,Generosity,Year,Social support,Region code,Region,Country code,Gender,Suicide rate,Low suicide rate,High suicide rate,Value,Mean suicide rate,Median suicide rate,Std suicide rate
Venezuela,2895.3,23,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,2015,,AMR,Americas,VEN,Male,4.08,3.02,5.38,4.08 [3.02 – 5.38],10.26013351134849,7.48,11.194969511733015
Singapore,2022.4,24,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,2015,,WPR,Western Pacific,SGP,Male,10.03,8.51,11.67,10.03 [8.51 – 11.67],10.26013351134849,7.48,11.194969511733015
Singapore,2022.4,24,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,2015,,WPR,Western Pacific,SGP,Both sexes,7.56,6.36,8.86,7.56 [6.36 – 8.86],10.26013351134849,7.48,11.194969511733015
Singapore,2022.4,24,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,2015,,WPR,Western Pacific,SGP,Female,4.98,4.1,5.92,4.98 [4.1 – 5.92],10.26013351134849,7.48,11.194969511733015
Panama,1743.5,25,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,2015,,AMR,Americas,PAN,Both sexes,2.95,2.32,3.69,2.95 [2.32 – 3.69],10.26013351134849,7.48,11.194969511733015
Panama,1743.5,25,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,2015,,AMR,Americas,PAN,Female,1.08,0.81,1.42,1.08 [0.81 – 1.42],10.26013351134849,7.48,11.194969511733015
Panama,1743.5,25,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,2015,,AMR,Americas,PAN,Male,4.87,3.86,6.04,4.87 [3.86 – 6.04],10.26013351134849,7.48,11.194969511733015
Germany,1644.0,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015,,EUR,Europe,DEU,Male,13.53,11.82,15.33,13.53 [11.82 – 15.33],10.26013351134849,7.48,11.194969511733015
Germany,1644.0,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015,,EUR,Europe,DEU,Both sexes,9.0,7.83,10.26,9 [7.83 – 10.26],10.26013351134849,7.48,11.194969511733015
Germany,1644.0,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015,,EUR,Europe,DEU,Female,4.73,4.06,5.48,4.73 [4.06 – 5.48],10.26013351134849,7.48,11.194969511733015
Chile,2841.78,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015,,AMR,Americas,CHL,Male,14.84,12.95,27.64,14.84 [12.95 – 27.64],10.26013351134849,7.48,11.194969511733015
Chile,2841.78,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015,,AMR,Americas,CHL,Both sexes,9.17,7.91,16.0,9.17 [7.91 – 16],10.26013351134849,7.48,11.194969511733015
Chile,2841.78,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015,,AMR,Americas,CHL,Female,3.87,3.19,4.6,3.87 [3.19 – 4.6],10.26013351134849,7.48,11.194969511733015
Qatar,,28,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,2015,,EMR,Eastern Mediterranean,QAT,Female,1.82,1.13,2.76,1.82 [1.13 – 2.76],10.26013351134849,7.48,11.194969511733015
Qatar,,28,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,2015,,EMR,Eastern Mediterranean,QAT,Male,5.83,3.78,8.92,5.83 [3.78 – 8.92],10.26013351134849,7.48,11.194969511733015
Qatar,,28,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,2015,,EMR,Eastern Mediterranean,QAT,Both sexes,4.85,3.14,7.37,4.85 [3.14 – 7.37],10.26013351134849,7.48,11.194969511733015
France,2166.67,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015,,EUR,Europe,FRA,Male,18.14,15.66,26.8,18.14 [15.66 – 26.8],10.26013351134849,7.48,11.194969511733015
France,2166.67,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015,,EUR,Europe,FRA,Both sexes,11.48,9.83,19.15,11.48 [9.83 – 19.15],10.26013351134849,7.48,11.194969511733015
France,2166.67,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015,,EUR,Europe,FRA,Female,5.34,4.45,12.1,5.34 [4.45 – 12.1],10.26013351134849,7.48,11.194969511733015
